ego_id,city
271002,santiago
271097,concepcion
272826,concepcion
273075,concepcion
273590,concepcion
274261,santiago
275936,santiago
276032,laserena
276742,santiago
278047,santiago
278341,santiago
279280,concepcion
280382,santiago
281494,concepcion
281598,santiago
283636,santiago
283905,santiago
284173,santiago
284589,santiago
285784,santiago
286608,santiago
288956,santiago
290043,santiago
290435,valparaiso
290977,laserena
291429,concepcion
291738,santiago
292808,santiago
294214,santiago
294875,santiago
295160,santiago
295975,laserena
296691,laserena
297064,concepcion
297278,santiago
297392,santiago
297726,santiago
298859,santiago
299764,valparaiso
300246,santiago
303016,santiago
303481,santiago
303780,valparaiso
303918,santiago
304091,santiago
305381,santiago
306581,santiago
306935,concepcion
306936,santiago
307938,santiago
308198,santiago
308684,santiago
309735,valparaiso
309775,valparaiso
309776,concepcion
310083,santiago
310527,santiago
312278,concepcion
312973,santiago
313445,valparaiso
313446,santiago
313573,santiago
313792,valparaiso
313822,santiago
314297,concepcion
314592,santiago
314635,laserena
314990,santiago
315717,concepcion
317106,santiago
317700,santiago
319064,valparaiso
319065,santiago
319240,santiago
319561,santiago
321280,santiago
321821,santiago
322706,santiago
323632,santiago
323663,santiago
323901,santiago
324183,santiago
324364,santiago
324756,valparaiso
324826,santiago
324838,santiago
325043,santiago
325044,santiago
325220,valparaiso
327937,santiago
328919,laserena
329552,santiago
329742,santiago
329875,concepcion
330183,valparaiso
330507,santiago
330599,santiago
330641,valparaiso
331907,santiago
332436,valparaiso
333998,santiago
334522,santiago
334632,santiago
334783,santiago
334828,santiago
335249,santiago
336153,santiago
336471,santiago
336488,laserena
336835,valparaiso
339324,santiago
339869,santiago
340018,santiago
340577,santiago
341295,concepcion
341412,laserena
342973,santiago
344551,santiago
345623,santiago
346146,concepcion
346474,santiago
347209,santiago
347256,concepcion
347565,concepcion
348034,laserena
348192,santiago
349350,santiago
349418,valparaiso
349639,santiago
349899,santiago
350056,santiago
350181,santiago
350609,santiago
350686,santiago
351500,santiago
352287,santiago
355891,concepcion
357014,valparaiso
358558,santiago
358619,santiago
359798,concepcion
359862,laserena
359905,santiago
361801,santiago
361846,santiago
362401,concepcion
362746,laserena
364392,santiago
364754,santiago
364823,santiago
365053,santiago
365095,santiago
365277,santiago
367454,santiago
367497,valparaiso
367626,concepcion
367876,concepcion
367978,santiago
368131,santiago
368434,santiago
368608,valparaiso
370753,concepcion
373492,concepcion
373789,concepcion
375062,concepcion
375098,laserena
375099,santiago
375219,santiago
375220,santiago
375411,santiago
376728,valparaiso
376765,santiago
376766,valparaiso
377344,santiago
378499,laserena
379507,santiago
380031,santiago
380215,santiago
381657,santiago
383167,santiago
383168,santiago
383473,concepcion
385783,santiago
386295,santiago
386868,santiago
387534,santiago
388710,laserena
389291,concepcion
390038,valparaiso
390060,concepcion
390082,santiago
390853,santiago
391126,santiago
392798,valparaiso
393660,santiago
394435,concepcion
395414,santiago
395925,santiago
396006,santiago
396092,santiago
396510,santiago
396625,santiago
397637,santiago
397982,valparaiso
399077,santiago
399169,santiago
401178,santiago
401278,santiago
401307,valparaiso
402512,santiago
402814,santiago
403301,santiago
403386,santiago
404499,santiago
406129,santiago
406604,concepcion
406647,concepcion
408537,concepcion
408866,santiago
411091,santiago
412821,santiago
412897,santiago
412899,santiago
415118,santiago
415241,santiago
415286,santiago
417724,santiago
418472,santiago
418553,santiago
418741,valparaiso
419118,concepcion
419641,santiago
421522,santiago
421726,santiago
422106,concepcion
422645,concepcion
422646,laserena
422981,santiago
424412,santiago
425323,santiago
426601,valparaiso
426648,santiago
427072,santiago
428242,concepcion
428904,santiago
429607,santiago
429694,santiago
429899,santiago
430524,santiago
430612,santiago
430613,valparaiso
430951,valparaiso
431806,santiago
433379,santiago
433417,santiago
434553,concepcion
435163,santiago
436436,concepcion
437648,santiago
438589,santiago
438941,santiago
439650,santiago
440247,santiago
440898,santiago
441476,laserena
442231,concepcion
442576,concepcion
442733,laserena
443824,santiago
444634,concepcion
445388,concepcion
445429,santiago
446158,santiago
446328,santiago
446812,santiago
447822,santiago
447868,santiago
448272,santiago
448340,concepcion
450352,santiago
450757,valparaiso
452034,santiago
452260,santiago
452675,santiago
453724,santiago
453929,santiago
454015,valparaiso
455091,santiago
455891,laserena
457193,santiago
457277,santiago
457642,concepcion
457643,laserena
458078,santiago
458376,santiago
459066,laserena
459157,laserena
459310,santiago
459654,santiago
461011,santiago
461083,santiago
461303,concepcion
462377,concepcion
463775,santiago
464228,concepcion
464333,santiago
465338,santiago
465411,concepcion
465796,valparaiso
466430,concepcion
466621,valparaiso
466652,santiago
466795,santiago
467920,santiago
471143,santiago
474697,concepcion
474940,santiago
475266,santiago
475518,santiago
475884,valparaiso
476247,santiago
477020,santiago
478714,santiago
479089,laserena
479322,santiago
480036,santiago
480686,concepcion
481459,valparaiso
481797,laserena
483182,santiago
483924,santiago
484262,santiago
484311,santiago
484536,santiago
485665,laserena
485975,santiago
486237,valparaiso
486430,santiago
486776,santiago
487228,santiago
487413,laserena
488007,santiago
488734,santiago
489054,concepcion
489956,valparaiso
490843,santiago
490844,santiago
491284,santiago
491710,santiago
491901,santiago
492703,santiago
492704,santiago
494308,santiago
494442,santiago
494838,santiago
494926,valparaiso
495190,laserena
495881,valparaiso
496516,santiago
497558,santiago
498028,santiago
499471,santiago
500002,concepcion
500045,valparaiso
500127,santiago
500896,santiago
501134,santiago
501264,santiago
501695,santiago
502792,santiago
502793,santiago
502879,laserena
503981,santiago
504444,santiago
504662,santiago
505765,santiago
506173,santiago
507215,concepcion
507348,santiago
508951,santiago
509133,santiago
509525,santiago
510021,santiago
510179,santiago
510219,santiago
511063,santiago
512106,concepcion
513417,santiago
513504,santiago
514344,concepcion
514667,laserena
515321,santiago
515407,concepcion
516788,concepcion
517659,santiago
519505,santiago
523087,laserena
523628,santiago
524051,santiago
525280,santiago
525973,valparaiso
526350,valparaiso
528762,santiago
528815,santiago
529777,santiago
530399,santiago
530435,santiago
531602,santiago
532147,santiago
532857,santiago
532906,santiago
534443,santiago
534512,concepcion
534838,santiago
535237,santiago
536542,santiago
537796,santiago
538158,santiago
538196,santiago
538590,valparaiso
539704,santiago
539851,valparaiso
540077,santiago
540461,santiago
540509,santiago
540599,santiago
540940,santiago
543054,santiago
543080,laserena
543580,santiago
544185,valparaiso
544597,santiago
544703,valparaiso
544896,santiago
546236,valparaiso
546314,valparaiso
546315,laserena
547109,concepcion
547608,santiago
548290,laserena
549500,santiago
549501,laserena
549631,santiago
549632,santiago
549762,concepcion
549878,concepcion
550238,santiago
550443,santiago
550656,santiago
551151,santiago
551215,santiago
551535,valparaiso
553457,santiago
554885,santiago
555444,santiago
555879,santiago
556410,santiago
557239,santiago
557325,laserena
558384,santiago
558428,santiago
558510,concepcion
558953,santiago
559592,valparaiso
559757,laserena
559878,santiago
559965,santiago
560596,santiago
560935,santiago
560950,valparaiso
561671,santiago
563255,santiago
563256,valparaiso
564083,santiago
564505,santiago
564506,santiago
564527,santiago
565235,santiago
566805,santiago
568481,santiago
568644,concepcion
569937,santiago
570994,santiago
573017,santiago
573946,laserena
574266,santiago
575828,concepcion
575871,santiago
576078,santiago
576540,santiago
577051,concepcion
578735,santiago
579968,santiago
580209,santiago
580479,concepcion
580602,santiago
580708,santiago
581055,santiago
582304,santiago
584506,santiago
585208,santiago
585427,santiago
585502,concepcion
586000,santiago
586107,santiago
587991,valparaiso
588349,santiago
588480,santiago
588481,santiago
588917,concepcion
589562,santiago
591179,santiago
592169,concepcion
593329,santiago
594057,concepcion
594082,concepcion
594847,santiago
595028,santiago
597188,santiago
597785,concepcion
598857,santiago
599020,santiago
599021,santiago
600641,santiago
600671,santiago
600678,santiago
601379,santiago
601817,santiago
602000,santiago
602111,valparaiso
603750,santiago
